,0,1,2,3
"(0, 0)",0.16290468543205935,0.5284750648629425,0.08112873635998247,0.06283905229430488
"(1, 0)",0.07976451115285667,0.5892837653247943,0.1436736911460678,-0.5217031000000001
"(0, 1)",0.016192410391113934,-0.46855900000000006,0.23578095731648238,0.0
"(2, 0)",0.08605649542079868,0.6557199712740197,0.06168168557447415,-0.5217031000000001
mine,0.0,0.0,0.0,0.0
"(0, 2)",0.0,-0.34390000000000004,0.0,0.0
"(0, 3)",0.0,0.0,0.0,0.0
"(1, 3)",0.0,0.0,-0.40951000000000004,0.0
"(2, 3)",0.0,-0.271,0.0,0.0
"(3, 0)",0.12174017657223814,0.015201324706708293,0.17262462931748462,0.7288871140060826
"(3, 1)",-0.5217031000000001,-0.34390000000000004,0.27590995480077296,0.8099700348250005
"(4, 0)",0.17060759945334325,0.0,0.0,-0.34390000000000004
"(3, 2)",0.03551119326030913,0.8999948896149355,0.24134032719064336,-0.34390000000000004
"(2, 2)",-0.1,0.20062919419827457,-0.19,0.0
"(4, 2)",0.27541282824475355,0.08618479575523055,-0.5217031000000001,0.9999993351268816
treasure,0.0,0.0,0.0,0.0
