,0,1,2,3
"(0, 0)",0.08045907562100854,0.001858479515426129,0.07295515857108796,0.4165979719678559
"(0, 1)",0.14726565925152968,-0.46855900000000006,0.07148771583386923,0.4709160126483647
"(1, 0)",0.05143440196922343,0.0,0.0,-0.46855900000000006
mine,0.0,0.0,0.0,0.0
"(2, 0)",0.0,0.0,0.0,-0.40951000000000004
"(3, 0)",0.0,0.0,0.0,0.0
"(4, 0)",0.0,0.0,0.0,-0.271
"(3, 1)",-0.1,-0.19,0.0,0.2801153185141216
"(0, 2)",0.15424776330741186,-0.5695327900000001,0.09231666758544153,0.527609808250242
"(0, 3)",0.10886968101903922,0.5887710115004892,0.0,0.006806234157360181
"(3, 2)",0.11562779352436707,0.8999894516676784,0.04937455710201482,-0.46855900000000006
"(1, 3)",0.09639171734041255,0.6553989788278347,-0.5695327900000001,0.26942122679292635
"(2, 3)",0.01612210242801971,-0.6125795110000001,0.7287554325207617,0.24439283727416378
"(2, 2)",-0.46855900000000006,0.8099383370775055,-0.19,0.00565186280972476
"(4, 2)",0.2151365886487679,0.4516735908664564,-0.271,0.9999990879655439
treasure,0.0,0.0,0.0,0.0
